"flag","BOUNDARY","COLLISION","DESIGNSPACE","OBJECTIVE","SETTINGZONE","NONE","U:0","U:1","U:2","Rho","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1,0,0,0,0,0,6.817e-06,1.2705e-17,0,1000,1,0,0.01,0,0.00025
1,1,0,0,0,0,0,6.817e-06,1.2705e-17,0,1000,1,0.00047727,0.01,0.00047727,0.00025
16,0,2,0,0,0,0,3.6357e-05,3.1764e-18,0,1000,1,0.00095455,0.01,0.00095455,0.00025
16,0,2,0,0,0,0,0.00010258,7.9409e-18,0,1000,1,0.0014318,0.01,0.0014318,0.00025
16,0,2,0,0,0,0,0.00016101,4.7646e-18,0,1000,1,0.0019091,0.01,0.0019091,0.00025
16,0,2,0,0,0,0,0.00021165,6.3527e-18,0,1000,1,0.0023864,0.01,0.0023864,0.00025
16,0,2,0,0,0,0,0.0002545,-1.4294e-17,0,1000,1,0.0028636,0.01,0.0028636,0.00025
16,0,2,0,0,0,0,0.00028956,-1.5882e-18,0,1000,1,0.0033409,0.01,0.0033409,0.00025
16,0,2,0,0,0,0,0.00031683,-7.9409e-18,0,1000,1,0.0038182,0.01,0.0038182,0.00025
16,0,2,0,0,0,0,0.00033631,3.1764e-18,0,1000,1,0.0042955,0.01,0.0042955,0.00025
16,0,2,0,0,0,0,0.00034799,-4.7646e-18,0,1000,1,0.0047727,0.01,0.0047727,0.00025
16,0,2,0,0,0,0,0.00035189,3.1764e-18,0,1000,1,0.00525,0.01,0.00525,0.00025
16,0,2,0,0,0,0,0.00034799,-3.1764e-18,0,1000,1,0.0057273,0.01,0.0057273,0.00025
16,0,2,0,0,0,0,0.00033631,4.7646e-18,0,1000,1,0.0062045,0.01,0.0062045,0.00025
16,0,2,0,0,0,0,0.00031683,-4.7646e-18,0,1000,1,0.0066818,0.01,0.0066818,0.00025
16,0,2,0,0,0,0,0.00028956,9.5291e-18,0,1000,1,0.0071591,0.01,0.0071591,0.00025
16,0,2,0,0,0,0,0.0002545,-6.3527e-18,0,1000,1,0.0076364,0.01,0.0076364,0.00025
16,0,2,0,0,0,0,0.00021165,6.3527e-18,0,1000,1,0.0081136,0.01,0.0081136,0.00025
16,0,2,0,0,0,0,0.00016101,-1.5882e-18,0,1000,1,0.0085909,0.01,0.0085909,0.00025
16,0,2,0,0,0,0,0.00010258,4.7646e-18,0,1000,1,0.0090682,0.01,0.0090682,0.00025
16,0,2,0,0,0,0,3.6357e-05,-3.1764e-18,0,1000,1,0.0095455,0.01,0.0095455,0.00025
1,1,0,0,0,0,0,6.817e-06,-7.9409e-18,0,1000,1,0.010023,0.01,0.010023,0.00025
1,1,0,0,0,0,0,6.817e-06,-7.9409e-18,0,1000,1,0.0105,0.01,0.0105,0.00025
